job_skill_name,primary_keyword_1,primary_keyword_2,search_keywords,notes
Solutions Marketing Manager,解決方案行銷經理,方案行銷經理,"解決方案行銷經理, 方案行銷經理",保留中文/中英混合關鍵字；已排除純英文 role title
Sourcing Specialist,採購開發專員,尋源專員,"採購開發專員, 尋源專員",保留中文/中英混合關鍵字；已排除純英文 role title
Startup Investment Analyst,新創投資分析師,創投投資分析師,"新創投資分析師, 創投投資分析師",保留中文/中英混合關鍵字；已排除純英文 role title
Startup Operations Associate,新創營運專員,新創運營專員,"新創營運專員, 新創運營專員",保留中文/中英混合關鍵字；已排除純英文 role title
Statistical Analyst,統計分析師,,統計分析師,保留中文/中英混合關鍵字；已排除純英文 role title
Statistician,統計師,,統計師,保留中文/中英混合關鍵字；已排除純英文 role title
Strategic Finance Analyst,策略財務分析師,財務策略分析師,"策略財務分析師, 財務策略分析師",保留中文/中英混合關鍵字；已排除純英文 role title
Strategic Initiatives Analyst,策略專案分析師,策略推進分析師,"策略專案分析師, 策略推進分析師",保留中文/中英混合關鍵字；已排除純英文 role title
Strategic Partnerships Analyst,策略合作分析師,商務合作分析師,"策略合作分析師, 商務合作分析師",保留中文/中英混合關鍵字；已排除純英文 role title
Strategic Planning Analyst,策略規劃分析師,戰略規劃分析師,"策略規劃分析師, 戰略規劃分析師",保留中文/中英混合關鍵字；已排除純英文 role title
Strategy & Operations Analyst,策略營運分析師,S&O分析師,"策略營運分析師, S&O分析師",保留中文/中英混合關鍵字；已排除純英文 role title；含英文縮寫但具中文職稱語境
Strategy Analyst,策略分析師,商業策略分析師,"策略分析師, 商業策略分析師",保留中文/中英混合關鍵字；已排除純英文 role title
Strategy Associate,策略專員,,策略專員,保留中文/中英混合關鍵字；已排除純英文 role title
Strategy Consultant,策略顧問,,策略顧問,保留中文/中英混合關鍵字；已排除純英文 role title
Supply Chain Analyst,供應鏈分析師,,供應鏈分析師,保留中文/中英混合關鍵字；已排除純英文 role title
Survey Analyst,問卷分析師,調查分析師,"問卷分析師, 調查分析師",保留中文/中英混合關鍵字；已排除純英文 role title
Sustainability Consultant,永續顧問,永續發展顧問,"永續顧問, 永續發展顧問",保留中文/中英混合關鍵字；已排除純英文 role title
System Analyst,系統分析師,,系統分析師,保留中文/中英混合關鍵字；已排除純英文 role title
Systems Consultant,系統顧問,資訊系統顧問,"系統顧問, 資訊系統顧問",保留中文/中英混合關鍵字；已排除純英文 role title
Talent Acquisition Specialist,招募專員,人才招募專員,"招募專員, 人才招募專員",保留中文/中英混合關鍵字；已排除純英文 role title
Tax Analyst,稅務分析師,稅務管理師,"稅務分析師, 稅務管理師",保留中文/中英混合關鍵字；已排除純英文 role title
Tax Associate,稅務專員,稅務助理,"稅務專員, 稅務助理",保留中文/中英混合關鍵字；已排除純英文 role title
Tax Consultant,稅務顧問,,稅務顧問,保留中文/中英混合關鍵字；已排除純英文 role title
Technical Product Manager,技術產品經理,技術PM,"技術產品經理, 技術PM",保留中文/中英混合關鍵字；已排除純英文 role title；含英文縮寫但具中文職稱語境
Technical Program Manager,技術專案經理,,技術專案經理,保留中文/中英混合關鍵字；已排除純英文 role title
Technical Support Engineer,技術支援工程師,客服工程師,"技術支援工程師, 客服工程師",保留中文/中英混合關鍵字；已排除純英文 role title
Technology Consultant,科技顧問,技術顧問,"科技顧問, 技術顧問",保留中文/中英混合關鍵字；已排除純英文 role title
Trader,金融交易員,,金融交易員,保留中文/中英混合關鍵字；已排除純英文 role title
Transfer Pricing Analyst,移轉訂價分析師,移轉定價分析師,"移轉訂價分析師, 移轉定價分析師",保留中文/中英混合關鍵字；已排除純英文 role title
Treasury Analyst,資金管理分析師,財資分析師,"資金管理分析師, 財資分析師",保留中文/中英混合關鍵字；已排除純英文 role title
Underwriting Analyst,核保分析師,承銷分析師,"核保分析師, 承銷分析師",保留中文/中英混合關鍵字；已排除純英文 role title
User Research Analyst,使用者研究分析師,用戶研究員,"使用者研究分析師, 用戶研究員",保留中文/中英混合關鍵字；已排除純英文 role title
User Researcher,使用者研究員,用戶研究員,"使用者研究員, 用戶研究員",保留中文/中英混合關鍵字；已排除純英文 role title
Vendor Manager,供應商管理經理,廠商管理經理,"供應商管理經理, 廠商管理經理",保留中文/中英混合關鍵字；已排除純英文 role title
Venture Builder,新創孵化專員,創業建構者,"新創孵化專員, 創業建構者",保留中文/中英混合關鍵字；已排除純英文 role title
Venture Capital Analyst,創投分析師,VC分析師,"創投分析師, VC分析師",保留中文/中英混合關鍵字；已排除純英文 role title；含英文縮寫但具中文職稱語境
Wealth Management Associate,財富管理專員,理財專員,"財富管理專員, 理財專員",保留中文/中英混合關鍵字；已排除純英文 role title
